"age";"population"
"Ruischerbrug";9
"Ruischerwaard";38
"Middelbert Dorp";2
"Buitengebied Middelbert";0
"Engelbert Dorp";18
"Buitengebied Engelbert-West";0
"Buitengebied Engelbert-Noord";0
"Buitengebied Engelbert-Zuid";0
"Klein Harkstede";2
"Onbekend in Groningen";10621
"Buiten Groningen";19885
