"age";"population";"percentage"
"Hiddema";1430;55
"Wibena";1920;72
"Clarema";1952;48
"Scheltema";2611;93
"De Hunze";2510;113
"Van Starkenborgh";919;40
"Noorderhoogebrug";314;23
"Het Witte Lam";45;1
"Koningslaagte";50;2
"Hunzeboord";0;0
"Lewenborg-Centrum";1269;14
"Voordek";563;14
"Stuurboord";828;16
"Achterdek";1046;15
"Aanlegsteiger";2127;38
"Bakboord";1387;39
"Vaarwater";1900;62
"Langszij";0;0
"Wijkpark Lewenborg";0;0
"Oosterhoogebrug Dorp";570;24
"Oosterhoogebrug-West";45;8
"Oosterhoogebrug-Oost";984;17
"Rijksweg";208;7
"Bedrijventerrein Oosterhoogebrug";95;6
"Abel Tasman";342;8
"Ulgersmaborg-Zuid";1738;46
"Ulgersmaweg";30;0
"Bedrijventerrein Ulgersmaborg-Noord";31;1
"Bedrijventerrein Ulgersmaborg-Zuid";105;2
"Hunzepark";0;0
"Zilvermeer";231;9
"Kardinge-West";1;0
"Kardinge-Oost";2;0
"Drielanden";977;25
"Noorddijk Dorp";109;5
"Buitengebied Noorddijk-West";0;0
"Buitengebied Noorddijk-Oost";0;0
"Ruischerbrug";486;9
"Ruischerwaard";1360;38
"Middelbert Dorp";106;2
"Buitengebied Middelbert";0;0
"Engelbert Dorp";916;18
"Buitengebied Engelbert-West";0;0
"Buitengebied Engelbert-Noord";0;0
"Buitengebied Engelbert-Zuid";0;0
"Klein Harkstede";70;2
"Onbekend in Groningen";125;10621
"Buiten Groningen";;19885
"Meerstad";795;
